ztfname,zHD,zHDERR,mB,mBERR,x1,x1ERR,c,cERR,cov_mB_x1,cov_mB_c,cov_x1_c,host_logmass,host_logmass_err,host_logmass_local,host_logmass_local_err,host_color,host_color_err,host_color_local,host_color_local_err,HR_tripp,HR_tripp_err,HR_tripp_err_nosigint
ZTF18aabtiph,0.0359198,1.372e-05,16.72767895119371,0.15546434190609418,-2.37309,0.178315,-0.29257,0.0972667,0.017081696639102938,0.014949820552487003,0.0102231,10.205,0.1268227108999015,10.123,0.036,1.26169653,0.018439088915,1.27569653,0.018439088915,0.36655833797091014,0.21250099064163516,0.1275016510625502
ZTF18aagrtxs,0.0297088,1.242e-05,16.232706475538485,0.03311611705334562,-0.711071,0.0371071,-0.14856,0.0280089,-5.231956428660267e-07,0.0008042938359731038,-0.000116882,10.583,0.1546738504078824,9.062,0.057,1.26869653,0.018439088915,1.27269653,0.021260291625,0.07203056265925206,0.1799094728651986,0.05888478943355084
ZTF18aagstdc,0.0403672,0.00388973,16.55873507199957,0.03285362260871414,-0.0479313,0.0498322,-0.0976154,0.0275175,3.410154093638049e-05,0.000784303409970167,-0.000123579,7.942,0.1531535177526131,7.874,0.481,1.08269653,0.162111073033,1.24969653,1.128405069113,-0.2634200346611702,0.17962677963141974,0.05801534246003056
ZTF18aahfbqp,0.041145,1.344e-05,16.876278015099455,0.06011251278473837,-1.96945,0.278768,-0.11234,0.0563684,0.008967121717538712,0.002597942538838196,0.00375787,10.879,0.136561341528267,10.543,0.118,1.31169653,0.018439088915,1.29569653,0.017691806013,-0.20888917569690577,0.21582166734044053,0.1329623709686608
ZTF18aahfgsk,0.0537684,1.293e-05,17.560337930214484,0.04124081651748989,0.316294,0.108006,-0.108032,0.0316804,0.0019415792307843946,0.001151064254599738,0.000971717,10.825,0.1226417547167358,8.722,0.031,1.18869653,0.018384776311,1.09769653,0.029732137495,0.18038795810136152,0.18082490632353765,0.061625049670699324
ZTF18aahheaj,0.052709,2.65e-05,17.760427817059547,0.03957224522648642,0.933283,0.157863,0.0253564,0.0323147,0.0009044267796538437,0.0011078449796471108,-0.00022766,9.313,0.1007174264961133,7.604,0.191,0.59969653,0.02941088234,0.54269653,0.145794375749,0.10765741973794361,0.1850783337546326,0.07317096162680363
ZTF18aahshhp,0.059615,1.414e-05,17.772526149088208,0.03437449946748252,-0.721588,0.228791,-0.0432262,0.0280551,0.001798341934426125,0.000822605541306533,0.00114984,10.846,0.1262101422231985,10.451,0.025,1.20869653,0.016970562748,1.20269653,0.017029386366,-0.17283317657924635,0.1814171629368101,0.06334182668696174
ZTF18aahtjsc,0.0529332,1.372e-05,18.509159639738634,0.03941224053413874,-0.0160545,0.170084,0.246919,0.032267,0.0015046272704492519,0.0010590335314405114,-1.80741e-05,10.415,0.159298462013919,10.087,0.089,1.23769653,0.018439088915,1.26869653,0.017691806013,0.04758296452338932,0.185978774988364,0.07541952496649999
ZTF18aaifxvz,0.0256844,1.414e-05,16.67329538699606,0.05201493351074415,-2.74023,0.293029,0.202411,0.0521635,0.005066403268922465,0.0021109065363994085,0.000882214,10.706,0.130598621738516,10.441,0.02,1.38569653,0.018439088915,1.38669653,0.019104973175,-0.5045555893904544,0.21467953778732599,0.13110035829310276
ZTF18aaisqmw,0.0529112,1.274e-05,18.34245283638176,0.047032836693441465,0.452177,0.261517,0.140455,0.035807,0.006573227617259116,0.0014786076818116846,0.00358217,10.142,0.1049952379872535,9.628,0.02,0.77569653,0.017691806013,0.81369653,0.017691806013,0.26776682582881806,0.18457120263394847,0.07187857011475714
